City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Bluff,NZ,55.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
4,Tuatapere,NZ,55.0,scattered clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
9,Kambove,CD,64.06,clear sky,-10.88,26.6,Couvant des soeurs catholiques
10,Fredericton,CA,50.0,overcast clouds,45.95,-66.67,Crowne Plaza Fredericton-Lord Beaverbrook
14,Ushuaia,AR,59.0,broken clouds,-54.8,-68.3,Albatros Hotel
15,Barrow,US,28.4,broken clouds,71.29,-156.79,King Eider Inn
16,Koraput,IN,64.54,clear sky,18.82,82.72,Raj Residency
21,Cidreira,BR,62.26,few clouds,-30.18,-50.21,Hotel Castelo
22,Albany,US,41.0,light rain,42.6,-73.97,Hotel Castelo
26,Mataura,NZ,55.0,broken clouds,-46.19,168.86,Ellie's Villa
33,Busselton,AU,59.0,broken clouds,-33.65,115.33,Observatory Guest House
36,Santander,ES,64.4,clear sky,43.46,-3.8,Abba Santander Hotel
37,Jamestown,US,34.0,light snow,42.1,-79.24,Hampton Inn & Suites Jamestown
43,Zhucheng,CN,51.93,clear sky,35.99,119.4,Fanrong Hotel
44,Chapais,CA,32.0,light snow,49.78,-74.85,Hôtel Opémiska
46,Port Hardy,CA,55.4,broken clouds,50.7,-127.42,Airport Inn
48,Punta Arenas,CL,53.6,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
49,Huarmey,PE,62.55,overcast clouds,-10.07,-78.15,Hotel Miramar
52,Mandan,US,48.2,clear sky,46.83,-100.89,Twin City Estates
55,Saldanha,ZA,64.4,clear sky,-33.01,17.94,Blue Bay Lodge
58,Enshi,CN,54.46,overcast clouds,30.3,109.48,Moevenpick Enshi
67,Ola,RU,30.65,overcast clouds,59.58,151.28,Moevenpick Enshi
72,Husavik,IS,37.4,scattered clouds,66.04,-17.34,Bjarnabúð
75,Bud,US,37.99,clear sky,39.45,-86.18,Bjarnabúð
79,Torbay,CA,37.0,few clouds,47.67,-52.73,Gallows Cove
83,Rio Gallegos,AR,55.4,clear sky,-51.62,-69.22,Hotel Santa Cruz
85,Moose Factory,CA,28.4,light snow,51.26,-80.61,Cree Village Eco Lodge
86,Port Alfred,ZA,64.51,scattered clouds,-33.59,26.89,The Halyards Hotel
88,Verkhnyaya Inta,RU,25.77,overcast clouds,65.98,60.31,The Halyards Hotel
89,Kaitangata,NZ,55.0,broken clouds,-46.28,169.85,Kaitangata Motor Camp
94,Kitimat,CA,48.99,overcast clouds,54.05,-128.65,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
96,Coquimbo,CL,55.4,broken clouds,-29.95,-71.34,Hotel San Juan
97,Meybod,IR,55.4,clear sky,32.25,54.02,Traditional Hotel Restaurant Haji Malek
99,Shenjiamen,CN,63.28,light rain,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
101,Lasa,IT,50.0,broken clouds,46.62,10.7,Pension Feldgärtenhof
104,Lebu,CL,52.7,broken clouds,-37.62,-73.65,Hostal Las Lilas
107,Roald,NO,50.0,light rain,62.58,6.13,Flem Cabins
108,Longyearbyen,SJ,35.6,clear sky,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
113,Chuy,UY,53.46,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
114,Shahrud,IR,52.29,clear sky,36.42,54.98,Royal Hotel
117,Constitucion,CL,52.34,broken clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
119,Atlantic City,US,54.0,few clouds,39.36,-74.42,Resorts Casino Hotel
121,Bridlington,GB,64.4,light rain,54.08,-0.19,Expanse Bridlington Seafront Hotel
123,Bredasdorp,ZA,64.4,broken clouds,-34.53,20.04,Bredasdorp Country Manor
124,Ribeira Grande,PT,64.2,overcast clouds,38.52,-28.7,Quinta da Meia Eira
127,Aksu,CN,35.42,clear sky,41.12,80.26,Pudong Holiday Hotel
128,Mar Del Plata,AR,60.01,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
129,Algiers,DZ,50.0,few clouds,36.75,3.04,Sofitel Algiers Hamma Garden
138,Plettenberg Bay,ZA,62.11,clear sky,-34.05,23.37,Thanda Vista B&B
142,Mikhaylovskoye,RU,34.5,overcast clouds,51.82,79.72,"Terem"""
143,Southbridge,US,48.0,moderate rain,42.08,-72.03,Southbridge Hotel & Conference Center
144,Hermanus,ZA,64.0,few clouds,-34.42,19.23,Misty Waves Boutique Hotel
145,Kameno,BG,50.0,clear sky,42.57,27.3,Парцел Камено
146,Northam,GB,62.01,overcast clouds,51.03,-4.22,Durrant House Hotel
148,Kangaatsiaq,GL,30.24,overcast clouds,68.31,-53.46,Durrant House Hotel
149,Berlevag,NO,37.4,clear sky,70.86,29.09,Kvitbrakka
150,Nikolskoye,RU,33.8,mist,59.7,30.79,Tourist House - Sablino
152,Chaplynka,UA,48.9,light rain,46.37,33.54,Hotelʹ Tavriya
154,Bethel,US,52.0,light rain,41.37,-73.41,Courtyard by Marriott Danbury
155,Komsomolskiy,UZ,46.4,overcast clouds,40.43,71.72,Ikathouse
156,Lewistown,US,42.8,few clouds,40.6,-77.57,Quality Inn & Suites
157,Broome,US,39.0,scattered clouds,42.25,-75.83,Chenango Valley State Park
158,Havre-Saint-Pierre,CA,39.2,overcast clouds,50.23,-63.6,Auberge Niapiskau
162,Lakeville,US,35.01,clear sky,44.65,-93.24,"Motel 6 Lakeville, MN - South - Lakeville"
164,Toamasina,MG,64.4,broken clouds,-18.17,49.38,Hotel H1
168,Pietersburg,ZA,59.0,scattered clouds,-23.9,29.47,Fusion Boutique Hotel
170,Te Anau,NZ,57.65,broken clouds,-45.42,167.72,Kingsgate Hotel Te Anau
171,Nalut,LY,59.49,clear sky,30.33,10.85,Kingsgate Hotel Te Anau
172,Valdivia,CL,57.2,scattered clouds,-39.81,-73.25,Hostal Entre Rios
174,Huadian,CN,35.91,clear sky,42.96,126.75,Huadian Forestry Bureau
176,Kruisfontein,ZA,64.99,scattered clouds,-34.0,24.73,Oyster Bay House Rental
183,Vestmannaeyjar,IS,38.5,clear sky,63.44,-20.27,Glamping & Camping
184,Okha,RU,42.06,moderate rain,53.57,142.95,Империя
185,Ostrovnoy,RU,38.53,overcast clouds,68.05,39.51,Империя
188,Port Elizabeth,ZA,64.4,clear sky,-33.92,25.57,39 On Nile Guest House
189,Sorland,NO,50.77,overcast clouds,67.67,12.69,Sjybrygga fiskecamp
191,Wajima,JP,57.2,light intensity shower rain,37.4,136.9,Wajiima Onsen Yashio
192,Saint-Ambroise,CA,39.2,moderate rain,48.55,-71.33,Motel Saint-Ambroise
193,Lagoa,PT,62.8,overcast clouds,39.05,-27.98,Casa Das Faias
194,Saint-Augustin,CA,36.66,overcast clouds,51.23,-58.65,Casa Das Faias
198,Klaksvik,FO,44.6,broken clouds,62.23,-6.59,Airbnb rooms
202,Kathmandu,NP,57.2,few clouds,27.72,85.32,Hotel Shanker Kathmandu
207,Baraboo,US,33.8,clear sky,43.47,-89.74,Thunderbird Motor Inn
216,Pierre,US,48.2,clear sky,44.37,-100.35,Ramkota Hotel
