City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Bluff,NZ,-46.6,168.33,55.0,96,100,5.01,light rain
1,Polunochnoye,RU,60.87,60.42,32.99,94,30,5.75,scattered clouds
2,Saldanha,ZA,-33.01,17.94,68.0,40,0,21.92,clear sky
3,Raska,RS,43.29,20.62,57.2,58,75,5.82,broken clouds
4,Loreto,MX,22.27,-101.97,50.65,80,1,4.88,clear sky
5,Ushuaia,AR,-54.8,-68.3,50.0,61,75,29.97,broken clouds
6,Nouadhibou,MR,20.93,-17.03,77.0,61,0,16.11,clear sky
7,Yellowknife,CA,62.46,-114.35,18.0,96,100,8.41,overcast clouds
8,Rikitea,PF,-23.12,-134.97,74.97,71,64,5.79,broken clouds
9,Port Elizabeth,ZA,-33.92,25.57,64.4,52,0,11.41,clear sky
10,Tigil,RU,57.8,158.67,32.79,97,100,3.62,overcast clouds
11,Mar Del Plata,AR,-38.0,-57.56,62.6,39,0,5.82,clear sky
12,Mataura,NZ,-46.19,168.86,55.0,96,100,5.01,overcast clouds
13,Vaini,TO,-21.2,-175.2,71.6,78,75,8.05,broken clouds
14,Susuman,RU,62.78,148.17,11.68,94,100,3.24,light snow
15,Esperance,AU,-33.87,121.9,59.0,67,100,11.41,overcast clouds
16,Vao,NC,-22.67,167.48,73.35,84,39,11.99,scattered clouds
17,Dikson,RU,73.51,80.55,11.52,95,100,28.61,overcast clouds
18,Aklavik,CA,68.22,-135.01,3.58,91,65,9.4,broken clouds
19,Pathein,MM,16.78,94.73,75.58,95,98,6.85,overcast clouds
20,Arraial Do Cabo,BR,-22.97,-42.03,78.8,83,75,11.41,broken clouds
21,Jamestown,US,42.1,-79.24,37.0,93,90,8.05,overcast clouds
22,Port Alfred,ZA,-33.59,26.89,63.46,53,96,9.62,overcast clouds
23,Airai,TL,-8.93,125.41,62.74,100,71,1.52,broken clouds
24,Albany,US,42.6,-73.97,33.01,89,100,8.03,light rain
25,Grindavik,IS,63.84,-22.43,42.8,87,75,16.11,broken clouds
26,Provideniya,RU,64.38,-173.3,24.46,91,95,5.57,overcast clouds
27,Thompson,CA,55.74,-97.86,10.04,95,0,3.94,clear sky
28,Hithadhoo,MV,-0.6,73.08,83.08,76,0,11.68,light rain
29,Kavieng,PG,-2.57,150.8,82.08,76,78,5.53,broken clouds
