City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-10-29 19:54:47,-23.12,-134.97,74.79,75,75,11.77
1,Mandera,KE,2020-10-29 19:57:59,3.94,41.87,82.35,62,25,11.1
2,Itarema,BR,2020-10-29 19:57:59,-2.92,-39.92,81.59,68,2,19.24
3,Aksarka,RU,2020-10-29 19:57:59,66.56,67.8,14.9,97,79,6.42
4,East London,ZA,2020-10-29 19:57:59,-33.02,27.91,63.16,87,100,19.08
5,Vila Franca Do Campo,PT,2020-10-29 19:57:59,37.72,-25.43,69.8,94,40,14.99
6,Mataura,NZ,2020-10-29 19:57:59,-46.19,168.86,55.0,90,100,1.99
7,Houlton,US,2020-10-29 19:57:59,46.13,-67.84,42.8,52,90,9.17
8,Beohari,IN,2020-10-29 19:58:00,24.05,81.38,65.01,43,0,1.72
9,Codrington,AU,2020-10-29 19:58:00,-38.27,141.97,50.85,93,97,2.06
10,Atuona,PF,2020-10-29 19:55:04,-9.8,-139.03,77.99,71,92,18.59
11,Busselton,AU,2020-10-29 19:58:00,-33.65,115.33,57.99,45,0,12.75
12,Bonthe,SL,2020-10-29 19:58:00,7.53,-12.51,79.48,83,38,5.64
13,Port Blair,IN,2020-10-29 19:58:00,11.67,92.75,80.4,84,99,9.15
14,Avarua,CK,2020-10-29 19:54:48,-21.21,-159.78,75.2,78,100,8.05
15,Hithadhoo,MV,2020-10-29 19:54:58,-0.6,73.08,83.03,75,11,11.3
16,Paso De Los Toros,UY,2020-10-29 19:58:01,-32.82,-56.52,64.4,42,40,19.46
17,Cape Town,ZA,2020-10-29 19:58:01,-33.93,18.42,55.4,54,0,5.82
18,Longyearbyen,SJ,2020-10-29 19:53:52,78.22,15.64,21.2,57,40,20.8
19,Churapcha,RU,2020-10-29 19:55:07,62.0,132.43,-8.97,91,34,2.28
20,Puerto Ayora,EC,2020-10-29 19:57:09,-0.74,-90.35,78.8,69,40,10.36
21,Hermanus,ZA,2020-10-29 19:57:31,-34.42,19.23,48.0,86,0,10.02
22,Milkovo,RU,2020-10-29 19:58:01,54.72,158.62,29.57,97,69,0.98
23,Grants Pass,US,2020-10-29 19:55:58,42.44,-123.33,66.2,38,1,0.38
24,Port Alfred,ZA,2020-10-29 19:58:01,-33.59,26.89,62.64,75,100,20.56
25,Kodiak,US,2020-10-29 19:58:01,57.79,-152.41,33.8,69,1,3.27
26,Martinsville,US,2020-10-29 19:55:12,36.69,-79.87,82.4,69,40,6.93
27,Vaini,TO,2020-10-29 19:56:49,-21.2,-175.2,73.4,73,40,10.29
28,Beringovskiy,RU,2020-10-29 19:58:02,63.05,179.32,23.92,86,0,7.67
29,Bilibino,RU,2020-10-29 19:58:02,68.05,166.44,0.19,83,45,1.68
30,Yellowknife,CA,2020-10-29 19:56:33,62.46,-114.35,21.0,91,2,6.69
31,Atar,MR,2020-10-29 19:58:02,20.52,-13.05,86.79,15,4,9.8
32,Bereda,ES,2020-10-29 19:57:13,43.27,-7.54,52.0,99,0,1.99
33,Llata,PE,2020-10-29 19:58:02,-9.42,-76.78,62.08,55,100,7.61
34,Banda Aceh,ID,2020-10-29 19:55:03,5.56,95.32,80.58,71,99,11.3
35,Clyde River,CA,2020-10-29 19:57:24,70.47,-68.59,21.11,95,100,13.15
36,Olafsvik,IS,2020-10-29 19:58:03,64.89,-23.71,43.3,84,98,18.21
37,Qaanaaq,GL,2020-10-29 19:58:03,77.48,-69.36,5.18,72,0,5.77
38,Ixtapa,MX,2020-10-29 19:58:03,20.7,-105.2,86.0,55,75,9.17
39,Muros,ES,2020-10-29 19:58:03,42.78,-9.06,54.0,88,3,1.01
40,Jamestown,US,2020-10-29 19:54:30,42.1,-79.24,46.0,100,90,5.82
41,Norman Wells,CA,2020-10-29 19:53:19,65.28,-126.83,14.49,91,68,3.49
42,Nikolskoye,RU,2020-10-29 19:58:03,59.7,30.79,50.0,93,90,2.24
43,Bethel,US,2020-10-29 19:58:04,41.37,-73.41,45.0,89,100,1.01
